suggested_action,mismatch_reason,cve_id,vendor,product,repo_key,github_url,ref_kind,source_tags,verdict,confidence,audit_reason,product_repo_relation,product_repo_relation_score,vendor_owner_relation,vendor_owner_relation_score,github_repo_http_status,github_repo_checked_url,github_repo_title,github_repo_description,stored_decision_rule,stored_fitness,recommended_action_by_repo,recommended_reason_by_repo,canonical_repo_key
reject,product mismatch: CPE product bc-csharp but GitHub repo is Bouncy Castle Java distribution,CVE-2020-15522,bouncycastle,bc-csharp,bcgit@bc-java,https://github.com/bcgit/bc-java/wiki/CVE-2020-15522,repo_or_file,Third Party Advisory,likely_product_repo_name_variant,medium,repo name is a variant of CPE product and owner/metadata supports product identity; v2 inserted this row from review decision,weak,0.272015,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,qualifier_removed_owner_weak_review,0.668,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2025-51497,adguard,adguard_for_safari,adguardteam@adguardforsafari,https://github.com/AdguardTeam/AdGuardForSafari,repo_or_file,Product,likely_product_repo_owner_diff,medium,product-repo name matches but owner differs from CPE vendor,compact_equal,1.000000,weak,0.664010,200,https://github.com/adguardteam/adguardforsafari,GitHub - AdguardTeam/AdGuardMiniForMac: AdGuard Mini for macOS · GitHub,AdGuard Mini for macOS. Contribute to AdguardTeam/AdGuardMiniForMac development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.8824035850287221,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,adguardteam@adguardminiformac
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2018-19246,php-proxy,php-proxy,athlon1600@php-proxy-app,https://github.com/Athlon1600/php-proxy-app/issues/134,issue,Exploit;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.080000,200,https://github.com/athlon1600/php-proxy-app,GitHub - Athlon1600/php-proxy-app: Web Proxy Application built on php-proxy library ready to be installed on your server · GitHub,Web Proxy Application built on php-proxy library ready to be installed on your server - Athlon1600/php-proxy-app,qualifier_removed_owner_weak_review,0.638,,,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2018-19784,php-proxy,php-proxy,athlon1600@php-proxy-app,https://github.com/Athlon1600/php-proxy-app/issues/139,issue,Exploit;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.080000,200,https://github.com/athlon1600/php-proxy-app,GitHub - Athlon1600/php-proxy-app: Web Proxy Application built on php-proxy library ready to be installed on your server · GitHub,Web Proxy Application built on php-proxy library ready to be installed on your server - Athlon1600/php-proxy-app,qualifier_removed_owner_weak_review,0.638,,,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2018-19785,php-proxy,php-proxy,athlon1600@php-proxy-app,https://github.com/Athlon1600/php-proxy-app/issues/140,issue,Exploit;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.080000,200,https://github.com/athlon1600/php-proxy-app,GitHub - Athlon1600/php-proxy-app: Web Proxy Application built on php-proxy library ready to be installed on your server · GitHub,Web Proxy Application built on php-proxy library ready to be installed on your server - Athlon1600/php-proxy-app,qualifier_removed_owner_weak_review,0.638,,,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2020-15125,auth0,auth0.js,auth0@node-auth0,https://github.com/auth0/node-auth0/pull/507,pull,Patch;Third Party Advisory,likely_product_repo_name_variant,medium,repo name is a variant of CPE product and owner/metadata supports product identity,weak,0.566453,exact_norm,1.000000,200,https://github.com/auth0/node-auth0,GitHub - auth0/node-auth0: Node.js client library for the Auth0 platform. · GitHub,Node.js client library for the Auth0 platform. Contribute to auth0/node-auth0 development by creating an account on GitHub.,score_threshold,0.9480000000000001,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2016-1000339,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/413b42f4d770456508585c830cfcde95f9b0e93b#diff-54656f860db94b867ba7542430cd2ef0,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2016-1000340,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/790642084c4e0cadd47352054f868cc8397e2c00#diff-e5934feac8203ca0104ab291a3560a31,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2016-1000341,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/acaac81f96fec91ab45bd0412beaf9c3acd8defa#diff-e75226a9ca49217a7276b29242ec59ce,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2016-1000342,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/843c2e60f67d71faf81d236f448ebbe56c62c647#diff-25c3c78db788365f36839b3f2d3016b9,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
